SalesDetailsKey,SalesHeaderKey,SalesOrderNumber,ProductKey,ProductSubcategoryKey,OrderQuantity,UnitPrice,ExtendedAmount,OrderDate,DueDate,ShipDate,CustomerKey,RegionKey,DiscountAmount,TotalAmount,SalesAmount
1,2194,SO43659,220,18,4,20.1865,80.746,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
2,2194,SO43659,223,10,2,5.1865,10.373,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
3,2194,SO43659,346,17,2,2039.994,4079.988,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
4,2194,SO43659,349,17,1,2024.994,2024.994,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
5,2194,SO43659,350,17,3,2024.994,6074.982,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
6,2194,SO43659,347,17,1,2039.994,2039.994,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
7,2194,SO43659,229,7,3,28.8404,86.5212,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
8,2194,SO43659,235,7,1,28.8404,28.8404,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
9,2194,SO43659,218,9,6,5.7,34.2,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
10,2194,SO43659,345,17,1,2039.994,2039.994,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
11,2194,SO43659,351,17,1,2024.994,2024.994,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
12,2194,SO43659,344,17,1,2039.994,2039.994,12/29/2010,1/10/2011,5/1/2011,676,5,543,20565.62,20022.62
3057,3,SO44551,345,17,2,2039.994,4079.988,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3058,3,SO44551,232,7,1,28.8404,28.8404,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3059,3,SO44551,344,17,2,2039.994,4079.988,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3060,3,SO44551,347,17,2,2039.994,4079.988,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3061,3,SO44551,349,17,2,2024.994,4049.988,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3062,3,SO44551,351,17,2,2024.994,4049.988,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3063,3,SO44551,348,17,3,2024.994,6074.982,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3064,3,SO44551,229,7,3,28.8404,86.5212,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3065,3,SO44551,215,18,3,20.1865,60.5595,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3066,3,SO44551,220,18,4,20.1865,80.746,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3067,3,SO44551,212,18,4,20.1865,80.746,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3068,3,SO44551,223,10,4,5.1865,20.746,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3069,3,SO44551,235,7,4,28.8404,115.3616,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3070,3,SO44551,218,9,6,5.7,34.2,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
3071,3,SO44551,350,17,7,2024.994,14174.958,5/1/2011,5/13/2011,8/5/2011,385,4,364.48,41097.6,40733.12
13,2312,SO43660,326,13,1,419.4589,419.4589,12/29/2010,1/10/2011,5/1/2011,117,5,18.44,1294.25,1275.81
14,2312,SO43660,319,17,1,874.794,874.794,12/29/2010,1/10/2011,5/1/2011,117,5,18.44,1294.25,1275.81
15,1002,SO43661,215,18,5,20.1865,100.9325,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
16,1002,SO43661,232,7,4,28.8404,115.3616,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
17,1002,SO43661,300,12,1,809.76,809.76,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
18,1002,SO43661,296,12,1,714.7043,714.7043,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
19,1002,SO43661,220,18,2,20.1865,40.373,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
