ReturnKey,ReturnDate,OrderDate,SalesOrderNumber,CustomerKey,ProductKey,ReturnQuantity,UnitPrice,ReturnAmount
1,1/10/2011,12/29/2010,SO43665,146,348,2,2024.994,4049.988
2,2/15/2011,1/29/2011,SO43867,145,296,2,714.704,1429.409
3,4/7/2011,3/31/2011,SO44285,397,351,2,2024.994,4049.988
4,5/21/2011,5/1/2011,SO44540,469,212,2,20.187,40.373
5,5/16/2011,5/1/2011,SO44570,218,328,2,419.459,838.918
6,6/12/2011,5/31/2011,SO44792,20,349,2,2024.994,4049.988
7,7/14/2011,7/1/2011,SO45043,146,350,2,2024.994,4049.988
8,8/17/2011,8/1/2011,SO45344,218,317,2,874.794,1749.588
9,9/16/2011,8/29/2011,SO45521,272,344,2,2039.994,4079.988
10,11/8/2011,10/29/2011,SO46025,271,232,2,28.84,57.681
11,11/7/2011,10/29/2011,SO46042,1,264,2,183.938,367.876
12,11/6/2011,10/29/2011,SO46053,145,232,2,28.84,57.681
13,11/12/2011,10/29/2011,SO46060,73,345,2,2039.994,4079.988
14,11/18/2011,10/29/2011,SO46077,469,347,2,2039.994,4079.988
15,11/16/2011,10/29/2011,SO46100,433,314,2,2146.962,4293.924
16,12/13/2011,11/29/2011,SO46327,272,292,2,818.7,1637.4
17,12/15/2011,11/29/2011,SO46379,20,346,2,849.998,1699.995
18,1/18/2012,12/29/2011,SO46609,577,242,2,780.818,1561.636
19,1/12/2012,12/29/2011,SO46611,146,230,2,28.84,57.681
20,2/10/2012,1/29/2012,SO46957,236,352,2,1242.852,2485.704
21,2/9/2012,1/29/2012,SO46974,127,420,2,141.615,283.23
22,2/19/2012,1/29/2012,SO46976,2,356,2,1242.852,2485.704
23,2/12/2012,1/29/2012,SO47033,343,461,2,53.994,107.988
24,2/10/2012,1/29/2012,SO47066,218,368,2,1466.01,2932.02
25,3/9/2012,2/29/2012,SO47403,254,426,2,209.256,418.512
26,3/15/2012,2/29/2012,SO47443,20,420,2,141.615,283.23
27,5/9/2012,4/30/2012,SO48057,343,273,2,202.332,404.664
28,6/18/2012,5/30/2012,SO48383,542,297,2,736.146,1472.291
29,8/20/2012,7/31/2012,SO49053,236,224,2,5.187,10.373
30,9/16/2012,8/28/2012,SO49449,272,470,2,22.794,45.588
31,9/14/2012,8/28/2012,SO49464,254,462,2,14.129,28.258
32,9/13/2012,8/28/2012,SO49464,254,399,2,33.775,67.549
33,11/7/2012,10/28/2012,SO50297,343,407,2,65.602,131.204
34,11/12/2012,10/28/2012,SO50314,433,387,2,600.263,1200.525
35,11/8/2012,10/28/2012,SO50321,218,375,2,1308.938,2617.875
36,12/10/2012,11/28/2012,SO50758,235,233,2,28.84,57.681
37,1/15/2013,12/28/2012,SO51123,290,440,2,858.9,1717.8
38,1/8/2013,12/28/2012,SO51146,505,502,2,200.052,400.104
39,3/17/2013,2/28/2013,SO53518,254,598,2,323.994,647.988
40,3/19/2013,2/28/2013,SO53576,542,400,2,37.152,74.304
41,3/13/2013,2/28/2013,SO53613,109,353,2,1391.994,2783.988
42,4/8/2013,3/30/2013,SO55241,146,599,2,323.994,647.988
43,4/7/2013,3/30/2013,SO55291,505,506,2,200.052,400.104
44,5/9/2013,4/30/2013,SO57136,433,380,2,1466.01,2932.02
45,6/14/2013,5/30/2013,SO59021,542,588,2,461.694,923.388
46,6/16/2013,5/30/2013,SO59065,235,225,2,5.394,10.788
47,7/7/2013,6/30/2013,SO61195,290,488,2,32.394,64.788
48,7/13/2013,6/30/2013,SO61267,505,573,2,1430.442,2860.884
49,8/20/2013,7/31/2013,SO63133,605,562,2,1430.442,2860.884
50,8/16/2013,7/31/2013,SO63148,361,603,2,72.894,145.788
51,8/12/2013,7/31/2013,SO63156,199,572,2,445.41,890.82
52,8/20/2013,7/31/2013,SO63249,343,382,2,672.294,1344.588
53,9/7/2013,8/29/2013,SO65199,621,570,2,445.41,890.82
54,9/10/2013,8/29/2013,SO65263,542,591,2,338.994,677.988
55,9/6/2013,8/29/2013,SO65278,308,569,2,445.41,890.82
56,10/9/2013,9/29/2013,SO67266,146,591,2,338.994,677.988
57,11/8/2013,10/29/2013,SO69408,236,476,2,41.994,83.988
58,11/16/2013,10/29/2013,SO69525,343,287,2,202.332,404.664
59,12/12/2013,11/29/2013,SO71880,542,363,2,1376.994,2753.988
60,2/16/2012,1/29/2012,SO47036,596,354,2,1242.852,2485.704
61,11/14/2012,10/28/2012,SO50206,236,356,2,1242.852,2485.704
62,4/20/2012,3/30/2012,SO47666,146,358,2,1229.459,2458.918
63,5/20/2012,4/30/2012,SO47986,236,358,2,1229.459,2458.918
64,11/16/2012,10/28/2012,SO50206,236,362,2,1229.459,2458.918
65,11/16/2012,10/28/2012,SO50206,236,391,2,88.932,177.864
66,5/14/2012,4/30/2012,SO47986,236,396,2,74.838,149.676
67,3/11/2013,2/28/2013,SO53576,542,525,2,158.43,316.86
68,10/11/2013,9/29/2013,SO67266,146,525,2,158.43,316.86
69,12/11/2013,11/29/2013,SO71785,272,527,2,158.43,316.86
70,12/18/2013,11/29/2013,SO71785,272,524,2,158.43,316.86
71,3/21/2013,2/28/2013,SO53576,542,551,2,158.43,316.86
72,12/9/2013,11/29/2013,SO71836,254,551,2,158.43,316.86
73,12/11/2013,11/29/2013,SO71886,109,532,2,149.874,299.748
74,3/20/2013,2/28/2013,SO53576,542,533,2,149.874,299.748
75,12/11/2013,11/29/2013,SO71785,272,531,2,149.874,299.748
76,12/19/2013,11/29/2013,SO71886,109,533,2,149.874,299.748
77,5/9/2013,4/30/2013,SO57026,361,603,2,72.894,145.788
78,11/17/2013,10/29/2013,SO69406,361,556,2,105.294,210.588
79,5/11/2013,4/30/2013,SO57026,361,561,2,1430.442,2860.884
80,3/15/2013,2/28/2013,SO53605,308,562,2,953.628,1907.256
